year;gender;source_form;rank;district_code;flagged
2021;M;Михајло;7;pomoravska;0
2021;F;Дарија;8;pomoravska;0
2021;M;Јован;8;pomoravska;0
2021;F;Дуња;9;pomoravska;0
2021;M;Ђорђе;9;pomoravska;0
2021;F;Анастасија;10;pomoravska;0
2021;M;Павле;10;pomoravska;0
2021;F;Софија;1;rasinska;0
2021;M;Лука;1;rasinska;0
2021;F;Дуња;2;rasinska;0
2021;M;Василије;2;rasinska;0
2021;F;Неда;3;rasinska;0
2021;M;Богдан;3;rasinska;0
2021;F;Нађа;4;rasinska;0
2021;M;Јаков;4;rasinska;0
2021;F;Теодора;5;rasinska;0
2021;M;Вукашин;5;rasinska;0
2021;F;Уна;6;rasinska;0
2021;M;Тадија;6;rasinska;0
2021;F;Лена;7;rasinska;0
2021;M;Лазар;7;rasinska;0
2021;F;Маша;8;rasinska;0
2021;M;Вукан;8;rasinska;0
2021;F;Дарија;9;rasinska;0
2021;M;Вук;9;rasinska;0
2021;F;Нина;10;rasinska;0
2021;M;Давид;10;rasinska;0
2021;F;Софија;1;raska;0
2021;M;Јусуф;1;raska;0
2021;F;Мерјем;2;raska;0
2021;M;Ахмед;2;raska;0
2021;F;Сара;3;raska;0
2021;M;Лука;3;raska;0
2021;F;Хана;4;raska;0
2021;M;Вукан;4;raska;0
2021;F;Дуња;5;raska;0
2021;M;Јаман;5;raska;0
2021;F;Ајна;6;raska;0
2021;M;Давуд;6;raska;0
2021;F;Нађа;7;raska;0
2021;M;Богдан;7;raska;0
2021;F;Асија;8;raska;0
2021;M;Вук;8;raska;0
2021;F;Аиша;9;raska;0
2021;M;Вукашин;9;raska;0
2021;F;Лејла;10;raska;0
2021;M;Омер;10;raska;0
2021;F;Софија;1;sumadijska;0
2021;M;Лука;1;sumadijska;0
2021;F;Сара;2;sumadijska;0
2021;M;Василије;2;sumadijska;0
2021;F;Дуња;3;sumadijska;0
2021;M;Богдан;3;sumadijska;0
2021;F;Теодора;4;sumadijska;0
2021;M;Алекса;4;sumadijska;0
2021;F;Петра;5;sumadijska;0
2021;M;Павле;5;sumadijska;0
2021;F;Нађа;6;sumadijska;0
2021;M;Вук;6;sumadijska;0
2021;F;Нина;7;sumadijska;0
2021;M;Вукан;7;sumadijska;0
2021;F;Тара;8;sumadijska;0
2021;M;Димитрије;8;sumadijska;0
2021;F;Анђелија;9;sumadijska;0
2021;M;Филип;9;sumadijska;0
2021;F;Маша;10;sumadijska;0
2021;M;Вукашин;10;sumadijska;0
2021;F;Дуња;1;borska;0
2021;M;Лука;1;borska;0
2021;F;Софија;2;borska;0
2021;M;Алекса;2;borska;0
2021;F;Теодора;3;borska;0
2021;M;Филип;3;borska;0
2021;F;Мила;4;borska;0
2021;M;Вук;4;borska;0
2021;F;Уна;5;borska;0
2021;M;Лазар;5;borska;0
2021;F;Николина;6;borska;0
2021;M;Урош;6;borska;0
2021;F;Даница;7;borska;0
2021;M;Виктор;7;borska;0
2021;F;Лена;8;borska;0
2021;M;Михајло;8;borska;0
2021;F;Петра;9;borska;0
2021;M;Павле;9;borska;0
2021;F;Анастасија;10;borska;0
2021;M;Богдан;10;borska;0
2021;F;Софија;1;branicevska;0
2021;M;Лазар;1;branicevska;0
2021;F;Мила;2;branicevska;0
2021;M;Вук;2;branicevska;0
2021;F;Николина;3;branicevska;0
2021;M;Богдан;3;branicevska;0
2021;F;Дуња;4;branicevska;0
2021;M;Василије;4;branicevska;0
2021;F;Сара;5;branicevska;0
2021;M;Петар;5;branicevska;0
2021;F;Теодора;6;branicevska;0
2021;M;Михајло;6;branicevska;0
2021;F;Анастасија;7;branicevska;0
2021;M;Тадија;7;branicevska;0
2021;F;Нађа;8;branicevska;0
2021;M;Вукан;8;branicevska;0
2021;F;Николија;9;branicevska;0
2021;M;Стефан;9;branicevska;0
2021;F;Нина;10;branicevska;0
2021;M;Димитрије;10;branicevska;0
2021;F;Сара;1;zajecarska;0
2021;M;Вук;1;zajecarska;0
2021;F;Софија;2;zajecarska;0
2021;M;Богдан;2;zajecarska;0
2021;F;Дуња;3;zajecarska;0
2021;M;Василије;3;zajecarska;0
2021;F;Даница;4;zajecarska;0
2021;M;Душан;4;zajecarska;0
2021;F;Мила;5;zajecarska;0
2021;M;Никола;5;zajecarska;0
2021;F;Тара;6;zajecarska;0
2021;M;Виктор;6;zajecarska;0
2021;F;Уна;7;zajecarska;0
2021;M;Лука;7;zajecarska;0
2021;F;Лена;8;zajecarska;0
2021;M;Петар;8;zajecarska;0
2021;F;Ленка;9;zajecarska;0
2021;M;Вукан;9;zajecarska;0
2021;F;Миа;10;zajecarska;0
2021;M;Лазар;10;zajecarska;0
2021;F;Софија;1;jablanicka;0
2021;M;Лука;1;jablanicka;0
2021;F;Мила;2;jablanicka;0
2021;M;Петар;2;jablanicka;0
2021;F;Данка;3;jablanicka;0
2021;M;Богдан;3;jablanicka;0
2021;F;Дуња;4;jablanicka;0
2021;M;Алекса;4;jablanicka;0
2021;F;Николина;5;jablanicka;0
2021;M;Тадија;5;jablanicka;0
2021;F;Петра;6;jablanicka;0
2021;M;Павле;6;jablanicka;0
2021;F;Уна;7;jablanicka;0
2021;M;Вукашин;7;jablanicka;0
2021;F;Ленка;8;jablanicka;0
2021;M;Лазар;8;jablanicka;0
2021;F;Тара;9;jablanicka;0
2021;M;Василије;9;jablanicka;0
2021;F;Богдана;10;jablanicka;0
2021;M;Вук;10;jablanicka;0
2021;F;Мила;1;nisavska;0
2021;M;Лука;1;nisavska;0
2021;F;Софија;2;nisavska;0
2021;M;Василије;2;nisavska;0
2021;F;Дуња;3;nisavska;0
2021;M;Лазар;3;nisavska;0
2021;F;Теодора;4;nisavska;0
2021;M;Андреј;4;nisavska;0
2021;F;Уна;5;nisavska;0
2021;M;Вук;5;nisavska;0
2021;F;Сара;6;nisavska;0
2021;M;Вукан;6;nisavska;0
2021;F;Тара;7;nisavska;0
2021;M;Богдан;7;nisavska;0
2021;F;Ленка;8;nisavska;0
2021;M;Алекса;8;nisavska;0
2021;F;Маша;9;nisavska;0
2021;M;Алексеј;9;nisavska;0
2021;F;Хелена;10;nisavska;0
2021;M;Михајло;10;nisavska;0
2021;F;Вера;1;pirotska;0
2021;M;Лука;1;pirotska;0
2021;F;Дуња;2;pirotska;0
2021;M;Вук;2;pirotska;0
2021;F;Лена;3;pirotska;0
2021;M;Андреј;3;pirotska;0
2021;F;Мила;4;pirotska;0
2021;M;Богдан;4;pirotska;0
2021;F;Милица;5;pirotska;0
2021;M;Јаков;5;pirotska;0
2021;F;Петра;6;pirotska;0
2021;M;Огњен;6;pirotska;0
2021;F;Алексија;7;pirotska;0
2021;M;Алекса;7;pirotska;0
2021;F;Андреа;8;pirotska;0
2021;M;Страхиња;8;pirotska;0
2021;F;Богдана;9;pirotska;0
2021;M;Алекса николић;9;pirotska;1
2021;F;Данка;10;pirotska;0
2021;M;Андреј ћирић;10;pirotska;1
2021;F;Мила;1;podunavska;0
2021;M;Василије;1;podunavska;0
2021;F;Софија;2;podunavska;0
2021;M;Лука;2;podunavska;0
2021;F;Даница;3;podunavska;0
2021;M;Богдан;3;podunavska;0
2021;F;Емилија;4;podunavska;0
2021;M;Павле;4;podunavska;0
2021;F;Дуња;5;podunavska;0
2021;M;Алекса;5;podunavska;0
2021;F;Хелена;6;podunavska;0
2021;M;Страхиња;6;podunavska;0
2021;F;Нађа;7;podunavska;0
2021;M;Вукашин;7;podunavska;0
2021;F;Тара;8;podunavska;0
2021;M;Матеја;8;podunavska;0
2021;F;Николија;9;podunavska;0
2021;M;Лазар;9;podunavska;0
2021;F;Сара;10;podunavska;0
2021;M;Стефан;10;podunavska;0
2021;F;Софија;1;pcinjska;0
2021;M;Василије;1;pcinjska;0
2021;F;Дуња;2;pcinjska;0
2021;M;Лука;2;pcinjska;0
2021;F;Мила;3;pcinjska;0
2021;M;Вукан;3;pcinjska;0
2021;F;Неда;4;pcinjska;0
2021;M;Петар;4;pcinjska;0
2021;F;Уна;5;pcinjska;0
2021;M;Алекса;5;pcinjska;0
2021;F;Петра;6;pcinjska;0
2021;M;Богдан;6;pcinjska;0
2021;F;Вера;7;pcinjska;0
2021;M;Вук;7;pcinjska;0
2021;F;Дарија;8;pcinjska;0
2021;M;Павле;8;pcinjska;0
2021;F;Јана;9;pcinjska;0
2021;M;Димитрије;9;pcinjska;0
2021;F;Николина;10;pcinjska;0
2021;M;Деспот;10;pcinjska;0
2021;F;Мила;1;toplicka;0
2021;M;Алекса;1;toplicka;0
2021;F;Софија;2;toplicka;0
2021;M;Василије;2;toplicka;0
2021;F;Дуња;3;toplicka;0
2021;M;Богдан;3;toplicka;0
2021;F;Анђелија;4;toplicka;0
2021;M;Вукашин;4;toplicka;0
2021;F;Ленка;5;toplicka;0
2021;M;Лука;5;toplicka;0
2021;F;Николина;6;toplicka;0
2021;M;Павле;6;toplicka;0
2021;F;Маша;7;toplicka;0
2021;M;Вукан;7;toplicka;0
2021;F;Неда;8;toplicka;0
2021;M;Ђорђе;8;toplicka;0
2021;F;Тара;9;toplicka;0
2021;M;Јаков;9;toplicka;0
2021;F;Нађа;10;toplicka;0
2021;M;Вељко;10;toplicka;0
